Vertex_Id,Label,1_Degree,2_BetweenessCentrality,3_ClosnessCentrality,4_EigenCentrality,5_Eccentricity,8_ClusteringCoefficient,8_Triangles,10_PageRank,,,,,,,,,
0,Beak,6,34.921151,0.346591,0.442751,6,0.333333,5,0.016953,,,,,,,,,
1,Beescratch,8,390.383717,0.371951,0.356611,5,0.142857,4,0.024674,,,,,,,,,
2,Bumper,4,16.603247,0.282407,0.152172,7,0.166667,1,0.01333,,,,,,,,,
3,CCL,3,4.344048,0.308081,0.256029,7,0.333333,1,0.009623,,,,,,,,,
4,Cross,1,0,0.24898,0.092841,8,0,0,0.005078,,,,,,,,,
5,DN16,4,8.015949,0.238281,0.191063,7,0.5,3,0.01445,,,,,,,,,
6,DN21,6,53.751742,0.267544,0.305039,6,0.533333,8,0.020086,,,,,,,,,
7,DN63,5,216.376673,0.365269,0.247425,5,0.2,2,0.01565,,,,,,,,,
8,Double,6,40.9293,0.363095,0.477527,6,0.266667,4,0.017087,,,,,,,,,
9,Feather,7,38.236716,0.252066,0.329657,7,0.52381,11,0.023502,,,,,,,,,
10,Fish,5,29.448398,0.312821,0.276466,7,0.4,4,0.015098,,,,,,,,,
11,Five,1,0,0.24898,0.092841,8,0,0,0.005078,,,,,,,,,
12,Fork,1,0,0.268722,0.119824,7,0,0,0.004834,,,,,,,,,
13,Gallatin,8,96.708781,0.271111,0.377444,6,0.5,14,0.026205,,,,,,,,,
14,Grin,12,113.408769,0.376543,1,6,0.257576,17,0.03212,,,,,,,,,
15,Haecksel,7,60.924764,0.338889,0.532595,6,0.238095,5,0.019865,,,,,,,,,
16,Hook,6,6.047619,0.32973,0.657517,7,0.6,9,0.016615,,,,,,,,,
17,Jet,9,209.169298,0.309645,0.35681,6,0.222222,8,0.031769,,,,,,,,,
18,Jonah,7,27.184466,0.337017,0.645573,7,0.52381,11,0.01938,,,,,,,,,
19,Knit,4,24.365341,0.316062,0.184724,5,0.5,3,0.012935,,,,,,,,,
20,Kringel,9,187.841704,0.391026,0.627379,6,0.138889,5,0.024625,,,,,,,,,
21,MN105,6,23.242197,0.333333,0.650379,7,0.533333,8,0.016927,,,,,,,,,
22,MN23,1,0,0.237354,0.058727,7,0,0,0.005422,,,,,,,,,
23,MN60,3,77.194498,0.333333,0.286857,6,0.333333,1,0.009859,,,,,,,,,
24,MN83,6,13.51097,0.312821,0.610215,7,0.533333,8,0.016893,,,,,,,,,
25,Mus,3,3.00873,0.25523,0.110748,6,0.666667,2,0.011517,,,,,,,,,
26,Notch,3,7.983333,0.277273,0.10935,6,0.666667,2,0.011219,,,,,,,,,
27,Number1,5,53.503455,0.316062,0.193442,5,0.4,4,0.017147,,,,,,,,,
28,Oscar,5,122.165227,0.365269,0.294695,5,0.3,3,0.014841,,,,,,,,,
29,Patchback,9,119.918587,0.322751,0.673294,7,0.25,9,0.026438,,,,,,,,,
30,PL,5,60.482343,0.322751,0.208857,5,0.3,3,0.015301,,,,,,,,,
31,Quasi,1,0,0.237354,0.058727,7,0,0,0.005422,,,,,,,,,
32,Ripplefluke,3,60,0.216312,0.119279,7,0.333333,1,0.013325,,,,,,,,,
33,Scabs,10,104.614585,0.365269,0.882359,6,0.333333,15,0.028403,,,,,,,,,
34,Shmuddel,5,59.83141,0.316062,0.437557,7,0.3,3,0.015912,,,,,,,,,
35,SMN5,1,0,0.24498,0.093387,8,0,0,0.004916,,,,,,,,,
36,SN100,7,454.274069,0.417808,0.485737,5,0.047619,1,0.020607,,,,,,,,,
37,SN4,11,253.582713,0.398693,0.95912,6,0.236364,13,0.029856,,,,,,,,,
38,SN63,8,82.994597,0.32973,0.624166,7,0.285714,8,0.023924,,,,,,,,,
39,SN89,2,129.045705,0.335165,0.132006,5,0,0,0.00777,,,,,,,,,
40,SN9,8,261.963619,0.403974,0.689558,5,0.25,7,0.021956,,,,,,,,,
41,SN90,5,42.550429,0.297561,0.289033,6,0.6,6,0.01616,,,,,,,,,
42,SN96,6,53.359052,0.32973,0.307612,6,0.333333,5,0.017606,,,,,,,,,
43,Stripes,7,114.980006,0.337017,0.598432,7,0.238095,5,0.02168,,,,,,,,,
44,Thumper,4,22.029185,0.311224,0.260064,7,0.166667,1,0.012823,,,,,,,,,
45,Topless,11,74.426906,0.346591,0.907961,7,0.309091,17,0.029489,,,,,,,,,
46,TR120,2,5.505495,0.256303,0.094981,8,0,0,0.008823,,,,,,,,,
47,TR77,6,42.458701,0.338889,0.31867,6,0.4,6,0.017329,,,,,,,,,
48,TR82,1,0,0.232824,0.062581,7,0,0,0.005267,,,,,,,,,
49,TR88,2,1.7,0.246964,0.075563,8,0,0,0.008875,,,,,,,,,
50,TR99,7,61.142194,0.350575,0.697945,7,0.238095,5,0.019219,,,,,,,,,
51,Trigger,10,154.959376,0.32973,0.667463,7,0.244444,11,0.031271,,,,,,,,,
52,TSN103,4,35.198851,0.342697,0.411339,6,0.333333,2,0.012065,,,,,,,,,
53,TSN83,2,2.183333,0.259574,0.108332,8,0,0,0.008177,,,,,,,,,
54,Upbang,7,181.392614,0.324468,0.345005,5,0.380952,8,0.021679,,,,,,,,,
55,Vau,2,1.605769,0.271111,0.16706,7,0,0,0.00749,,,,,,,,,
56,Wave,2,0.25,0.213287,0.080817,7,0,0,0.008339,,,,,,,,,
57,Web,9,154.094571,0.30198,0.387156,6,0.361111,13,0.030143,,,,,,,,,
58,Whitetip,1,0,0.24898,0.086229,8,0,0,0.004961,,,,,,,,,
59,Zap,5,37.208978,0.342697,0.371485,6,0.3,3,0.014759,,,,,,,,,
60,Zig,1,0,0.178363,0.020519,8,0,0,0.006199,,,,,,,,,
61,Zipfel,3,25.976818,0.30198,0.172357,7,0,0,0.011034,,,,,,,,,
